"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Aug 2021","1","171.66","169.16","1.07","0.63","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","2","148.31","146.73","0.50","0.28","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","3","121.06","119.76","0.21","0.29","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","4","119.12","118.41","0.18","-0.27","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","5","117.91","117.50","0.16","-0.55","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","6","115.65","114.73","0.17","-0.05","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","7","117.38","115.77","0.11","0.69","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","8","110.48","109.35","0.11","0.22","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","9","106.42","105.79","0.11","-0.28","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","10","106.83","105.78","0.11","0.14","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","11","110.06","108.62","0.12","0.52","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","12","116.30","114.73","0.33","0.44","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","13","113.20","112.06","0.42","-0.08","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","14","113.43","112.07","0.41","0.14","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","15","116.95","115.64","0.84","-0.33","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","16","119.04","117.81","1.21","-0.78","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","17","124.99","123.64","0.96","-0.41","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","18","134.44","132.93","1.20","-0.49","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","19","133.31","131.60","0.81","0.10","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","20","154.90","152.53","1.02","0.55","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","21","128.85","127.08","0.58","0.39","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","22","110.14","109.16","0.24","-0.07","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","23","106.89","105.93","0.23","-0.07","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","24","106.49","105.52","0.22","-0.05","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","25","106.45","105.26","0.21","0.17","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","26","106.31","105.27","0.22","0.02","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","27","106.47","105.27","0.32","0.08","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","28","101.86","100.76","0.27","0.02","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","29","105.63","105.27","0.31","-0.75","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","30","106.02","105.26","0.26","-0.31","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","31","101.65","100.74","0.18","-0.07","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","32","100.79","100.21","0.18","-0.40","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","33","105.73","105.26","0.21","-0.54","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","34","102.07","101.16","0.32","-0.21","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","35","105.81","105.44","0.26","-0.70","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","36","106.67","105.63","0.33","-0.09","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","37","107.95","105.96","1.25","-0.06","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","38","118.40","117.14","1.15","-0.69","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","39","120.65","119.63","0.77","-0.55","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","40","141.42","140.40","1.09","-0.87","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","41","152.21","150.91","1.00","-0.50","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","42","186.04","183.85","1.50","-0.12","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","43","284.12","281.04","3.01","-0.74","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","44","127.37","126.59","0.48","-0.50","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","45","118.80","117.65","0.36","-0.02","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","46","116.73","115.58","0.32","0.03","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","47","133.50","131.89","0.51","0.30","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","01 Aug 2021","48","117.22","116.04","0.31","0.06","0.00","0.22","0.3491","0.0000","0.2335"
"WEP","02 Aug 2021","1","117.24","116.65","0.29","-0.48","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","2","109.29","109.74","0.12","-1.35","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","3","115.23","114.76","0.11","-0.42","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","4","110.19","109.74","0.11","-0.44","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","5","110.34","109.62","0.11","-0.17","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","6","106.08","105.81","0.11","-0.62","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","7","106.05","105.71","0.11","-0.55","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","8","105.81","105.59","0.04","-0.60","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","9","105.68","105.59","0.11","-0.80","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","10","105.53","105.59","0.11","-0.95","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","11","108.19","108.57","0.12","-1.28","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","12","123.16","122.59","0.32","-0.53","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","13","131.33","130.84","0.41","-0.70","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","14","135.22","134.89","0.39","-0.84","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","15","119.27","118.80","0.74","-1.05","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","16","129.94","128.92","0.91","-0.67","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","17","182.95","181.37","1.94","-1.14","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","18","292.80","290.91","3.91","-2.80","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","19","306.89","306.18","3.61","-3.68","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","20","383.50","382.84","3.27","-3.39","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","21","492.29","492.56","3.15","-4.21","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","22","491.79","492.59","2.86","-4.44","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","23","387.83","388.25","2.86","-5.51","1.45","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","24","380.72","384.34","2.80","-7.20","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","25","339.55","342.06","2.80","-6.10","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","26","383.44","384.36","2.84","-4.54","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","27","1181.05","1189.48","3.21","-12.42","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","28","398.09","393.43","3.14","-5.63","6.37","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","29","569.58","576.66","3.04","-10.90","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","30","575.78","575.84","2.99","-10.15","6.32","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","31","1871.71","1907.52","2.77","-39.36","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","32","1880.15","1907.55","2.80","-30.98","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","33","1900.84","1918.51","2.78","-21.23","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","34","1908.53","1919.41","3.13","-14.79","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","35","1186.88","1195.69","3.10","-12.69","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","36","356.45","356.76","3.32","-4.41","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","37","279.16","277.30","4.06","-2.98","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","38","323.63","322.17","3.88","-3.20","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","39","364.92","364.62","3.84","-4.32","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","40","323.84","322.11","3.71","-2.77","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","41","339.27","338.96","3.42","-3.90","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","42","355.24","354.36","3.16","-3.07","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","43","362.95","362.78","2.89","-3.50","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","44","230.72","231.76","1.41","-3.23","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","45","228.47","226.75","2.13","-1.19","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","46","187.78","186.32","1.38","-0.71","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","47","160.51","160.76","0.68","-1.72","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","02 Aug 2021","48","155.01","155.61","0.57","-1.95","0.00","0.22","0.3491","0.0000","0.2121"
"WEP","03 Aug 2021","1","203.19","203.71","0.55","-1.85","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","2","186.84","186.04","0.24","-0.22","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","3","161.10","160.44","0.14","-0.25","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","4","147.70","147.47","0.13","-0.68","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","5","145.55","144.87","0.13","-0.23","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","6","136.61","136.06","0.14","-0.37","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","7","135.89","134.98","0.14","-0.01","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","8","128.63","128.08","0.11","-0.34","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","9","130.93","130.07","0.13","-0.05","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","10","128.47","127.01","0.11","0.57","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","11","141.77","140.20","0.14","0.65","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","12","151.76","150.46","0.32","0.20","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","13","155.24","153.98","0.75","-0.27","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","14","166.36","165.12","0.72","-0.26","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","15","118.71","117.19","0.75","-0.01","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","16","126.99","125.55","1.10","-0.44","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","17","136.96","135.72","0.75","-0.29","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","18","185.97","183.65","2.01","-0.47","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","19","166.20","165.50","1.10","-1.17","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","20","125.21","124.84","0.36","-0.77","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","21","124.92","124.98","0.33","-1.17","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","22","119.72","120.04","0.21","-1.31","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","23","110.93","111.18","0.16","-1.19","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","24","105.74","106.42","0.12","-1.58","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","25","106.08","106.68","0.03","-1.41","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","26","109.92","110.60","0.04","-1.50","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","27","117.99","119.05","0.16","-2.00","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","28","122.64","123.67","0.20","-2.01","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","29","133.23","134.99","0.16","-2.70","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","30","134.11","135.38","0.16","-2.21","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","31","153.86","155.73","0.12","-2.77","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","32","153.51","155.67","0.12","-3.05","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","33","139.01","140.47","0.13","-2.37","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","34","182.38","183.61","0.26","-2.27","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","35","181.71","183.43","0.13","-2.63","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","36","126.78","128.76","0.21","-2.97","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","37","144.50","145.32","0.75","-2.35","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","38","184.81","185.94","0.69","-2.60","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","39","202.23","203.67","0.31","-2.53","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","40","195.43","196.34","0.40","-2.09","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","41","182.01","183.48","0.18","-2.42","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","42","201.88","203.54","0.14","-2.58","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","43","181.70","183.46","0.12","-2.66","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","44","154.26","155.59","0.13","-2.24","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","45","182.89","183.72","0.14","-1.75","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","46","154.46","155.54","0.05","-1.91","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","47","133.92","135.08","0.05","-1.99","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","03 Aug 2021","48","117.20","118.03","0.02","-1.63","0.00","0.22","0.3491","0.0000","0.2103"
"WEP","04 Aug 2021","1","143.49","144.90","0.02","-2.21","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","2","135.17","135.68","0.01","-1.31","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","3","144.89","144.86","0.01","-0.76","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","4","153.50","153.46","0.02","-0.77","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","5","175.07","175.59","0.05","-1.35","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","6","155.95","155.73","0.05","-0.61","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","7","153.49","153.45","0.05","-0.79","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","8","135.56","134.94","0.02","-0.19","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","9","121.34","120.94","0.01","-0.40","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","10","120.91","120.97","0.02","-0.87","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","11","120.00","120.09","0.01","-0.89","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","12","124.72","124.63","0.02","-0.71","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","13","181.62","180.70","0.17","-0.03","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","14","181.92","180.72","0.16","0.26","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","15","112.40","111.43","0.18","0.01","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","16","117.26","116.42","0.27","-0.21","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","17","117.61","116.92","0.21","-0.30","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","18","117.25","116.81","0.26","-0.60","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","19","117.33","116.90","0.20","-0.55","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","20","117.12","116.98","0.15","-0.79","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","21","116.54","116.49","0.14","-0.87","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","22","116.83","116.96","0.06","-0.97","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","23","116.96","116.96","0.12","-0.90","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","24","116.91","116.49","0.11","-0.48","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","25","116.19","116.45","0.02","-1.06","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","26","110.06","110.09","0.04","-0.86","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","27","116.55","116.47","0.14","-0.84","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","28","116.41","116.47","0.15","-0.99","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","29","116.46","116.49","0.14","-0.95","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","30","116.65","116.49","0.14","-0.77","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","31","116.60","116.49","0.02","-0.69","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","32","116.61","116.47","0.03","-0.67","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","33","115.44","114.95","0.02","-0.31","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","34","112.94","112.91","0.14","-0.89","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","35","100.89","100.97","0.14","-1.00","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","36","100.05","100.22","0.15","-1.10","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","37","99.83","99.62","0.30","-0.87","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","38","101.24","100.71","0.26","-0.51","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","39","112.89","112.96","0.20","-1.05","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","40","107.85","107.32","0.25","-0.50","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","41","115.52","115.45","0.15","-0.87","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","42","116.22","115.92","0.14","-0.62","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","43","117.28","117.19","0.06","-0.75","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","44","116.28","115.96","0.07","-0.54","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","45","120.66","119.85","0.15","-0.12","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","46","115.98","115.78","0.06","-0.64","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","47","115.68","115.43","0.02","-0.55","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","04 Aug 2021","48","105.04","104.87","0.02","-0.64","0.00","0.22","0.3491","0.0000","0.2139"
"WEP","05 Aug 2021","1","122.13","121.89","0.02","-0.56","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","2","118.08","117.27","0.01","0.02","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","3","116.08","115.46","0.01","-0.17","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","4","115.78","114.88","0.01","0.11","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","5","108.56","108.32","0.01","-0.55","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","6","99.60","98.57","0.01","0.24","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","7","99.32","98.50","0.01","0.03","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","8","98.55","97.44","0.01","0.32","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","9","99.39","98.59","0.01","0.01","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","10","100.04","99.57","0.01","-0.32","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","11","112.60","112.35","0.01","-0.55","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","12","115.99","115.75","0.03","-0.57","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","13","120.82","120.37","0.17","-0.50","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","14","141.11","140.65","0.16","-0.48","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","15","115.53","115.06","0.18","-0.49","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","16","117.42","117.22","0.22","-0.80","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","17","117.69","117.32","0.17","-0.58","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","18","121.03","120.60","0.26","-0.61","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","19","119.05","118.90","0.16","-0.79","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","20","145.66","145.88","0.15","-1.15","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","21","118.85","118.78","0.14","-0.85","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","22","120.48","120.69","0.17","-1.16","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","23","117.66","118.09","0.13","-1.34","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","24","116.24","116.91","0.12","-1.57","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","25","115.34","115.95","0.10","-1.49","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","26","116.22","116.90","0.12","-1.58","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","27","118.24","118.69","0.17","-1.40","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","28","155.64","156.30","0.22","-1.66","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","29","145.14","145.99","0.20","-1.83","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","30","144.92","146.00","0.13","-1.99","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","31","160.10","161.38","0.12","-2.18","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","32","164.81","166.30","0.12","-2.39","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","33","166.34","167.65","0.18","-2.27","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","34","166.28","167.48","0.23","-2.22","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","35","155.00","156.31","0.20","-2.29","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","36","116.42","117.34","0.15","-1.85","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","37","139.51","139.50","0.35","-1.12","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","38","167.54","167.24","0.48","-0.96","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","39","167.75","167.63","0.28","-0.94","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","40","167.31","167.33","0.32","-1.12","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","41","186.73","186.58","0.18","-0.81","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","42","202.74","203.02","0.14","-1.20","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","43","186.22","186.54","0.11","-1.21","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","44","140.64","141.00","0.13","-1.28","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","45","138.29","138.51","0.28","-1.28","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","46","118.17","118.25","0.19","-1.05","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","47","116.72","117.06","0.02","-1.14","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","05 Aug 2021","48","114.83","115.09","0.02","-1.06","0.00","0.22","0.3491","0.0000","0.2113"
"WEP","06 Aug 2021","1","144.80","145.54","0.02","-1.54","0.00","0.22","0.3491","0.0000","0.2083"
"WEP","06 Aug 2021","2","139.81","139.08","0.01","-0.06","0.00","0.22","0.3491","0.0000","0.2083"
"WEP","06 Aug 2021","3","128.26","128.53","0.01","-1.05","0.00","0.22","0.3491","0.0000","0.2083"
