definition_name,time_period,value
residential_landed,06T05:30,0.490410181
residential_landed,06T06:00,0.463894637
residential_landed,06T06:30,0.435613644
residential_landed,06T07:00,0.467256436
residential_landed,06T07:30,0.455052515
residential_landed,06T08:00,0.513273019
residential_landed,06T08:30,0.406023786
residential_landed,06T09:00,0.447431681
residential_landed,06T09:30,0.418492821
residential_landed,06T10:00,0.504250899
residential_landed,06T10:30,0.655151155
residential_landed,06T11:00,0.590726507
residential_landed,06T11:30,0.580155359
residential_landed,06T12:00,0.516162949
residential_landed,06T12:30,0.518787621
residential_landed,06T13:00,0.563460916
residential_landed,06T13:30,0.366758208
residential_landed,06T14:00,0.455833032
residential_landed,06T14:30,0.455202717
residential_landed,06T15:00,0.508069886
residential_landed,06T15:30,0.455088384
residential_landed,06T16:00,0.591947073
residential_landed,06T16:30,0.701339491
residential_landed,06T17:00,0.536560237
residential_landed,06T17:30,0.453956262
residential_landed,06T18:00,0.464953719
residential_landed,06T18:30,0.371934584
residential_landed,06T19:00,0.358907117
residential_landed,06T19:30,0.393474045
residential_landed,06T20:00,0.583665262
residential_landed,06T20:30,0.643341217
residential_landed,06T21:00,0.929146157
residential_landed,06T21:30,0.928268302
residential_landed,06T22:00,0.967180828
residential_landed,06T22:30,0.978763185
residential_landed,06T23:00,0.887816798
residential_landed,06T23:30,0.994121933
fixed_ev_charger_generic,01T00:00,0.270786092214663
fixed_ev_charger_generic,01T00:30,0.255668934240363
fixed_ev_charger_generic,01T01:00,0.20578231292517
fixed_ev_charger_generic,01T01:30,0.183673469387755
fixed_ev_charger_generic,01T02:00,0.158919123204837
fixed_ev_charger_generic,01T02:30,0.129251700680272
fixed_ev_charger_generic,01T03:00,0.0993953136810279
fixed_ev_charger_generic,01T03:30,0.0774754346182918
fixed_ev_charger_generic,01T04:00,0.0612244897959183
fixed_ev_charger_generic,01T04:30,0.0444066515495086
fixed_ev_charger_generic,01T05:00,0.0343915343915344
fixed_ev_charger_generic,01T05:30,0.0273998488284202
fixed_ev_charger_generic,01T06:00,0.0226757369614512
fixed_ev_charger_generic,01T06:30,0.0211640211640211
fixed_ev_charger_generic,01T07:00,0.0122826908541194
fixed_ev_charger_generic,01T07:30,0.0018896447467876
fixed_ev_charger_generic,01T08:00,0.0829554043839758
fixed_ev_charger_generic,01T08:30,0.215986394557823
fixed_ev_charger_generic,01T09:00,0.288737717309146
fixed_ev_charger_generic,01T09:30,0.32464096749811
fixed_ev_charger_generic,01T10:00,0.377551020408163
fixed_ev_charger_generic,01T10:30,0.437641723356009
fixed_ev_charger_generic,01T11:00,0.493197278911564
fixed_ev_charger_generic,01T11:30,0.571995464852608
fixed_ev_charger_generic,01T12:00,0.677059712773998
fixed_ev_charger_generic,01T12:30,0.79724111866969
fixed_ev_charger_generic,01T13:00,0.89021164021164
fixed_ev_charger_generic,01T13:30,0.932728647014361
fixed_ev_charger_generic,01T14:00,0.957671957671957
fixed_ev_charger_generic,01T14:30,0.968820861678005
fixed_ev_charger_generic,01T15:00,0.982237339380196
fixed_ev_charger_generic,01T15:30,1.0
fixed_ev_charger_generic,01T16:00,0.931783824640968
fixed_ev_charger_generic,01T16:30,0.8140589569161
fixed_ev_charger_generic,01T17:00,0.776832955404383
fixed_ev_charger_generic,01T17:30,0.764361300075585
fixed_ev_charger_generic,01T18:00,0.740929705215419
fixed_ev_charger_generic,01T18:30,0.71012849584278
fixed_ev_charger_generic,01T19:00,0.675925925925924
fixed_ev_charger_generic,01T19:30,0.609410430839001
fixed_ev_charger_generic,01T20:00,0.526643990929705
fixed_ev_charger_generic,01T20:30,0.410241874527589
fixed_ev_charger_generic,01T21:00,0.331065759637188
fixed_ev_charger_generic,01T21:30,0.299508692365835
fixed_ev_charger_generic,01T22:00,0.278155706727135
fixed_ev_charger_generic,01T22:30,0.274754346182917
fixed_ev_charger_generic,01T23:00,0.270786092214663
fixed_ev_charger_generic,01T23:30,0.255668934240363
flexible_ev_charger_generic_night_nominal,01T00:00,0.0
flexible_ev_charger_generic_night_nominal,01T01:00,0.0
flexible_ev_charger_generic_night_nominal,01T02:00,0.0
flexible_ev_charger_generic_night_nominal,01T03:00,0.0
flexible_ev_charger_generic_night_nominal,01T04:00,0.0
flexible_ev_charger_generic_night_nominal,01T05:00,0.0
flexible_ev_charger_generic_night_nominal,01T06:00,0.0
flexible_ev_charger_generic_night_nominal,01T07:00,0.0
flexible_ev_charger_generic_night_nominal,01T08:00,0.0
flexible_ev_charger_generic_night_nominal,01T09:00,0.0
flexible_ev_charger_generic_night_nominal,01T10:00,0.0
flexible_ev_charger_generic_night_nominal,01T11:00,0.0
flexible_ev_charger_generic_night_nominal,01T12:00,0.0
flexible_ev_charger_generic_night_nominal,01T13:00,0.0
flexible_ev_charger_generic_night_nominal,01T14:00,0.0
flexible_ev_charger_generic_night_nominal,01T15:00,0.0
flexible_ev_charger_generic_night_nominal,01T16:00,0.0
flexible_ev_charger_generic_night_nominal,01T17:00,0.0
flexible_ev_charger_generic_night_nominal,01T18:00,0.0
flexible_ev_charger_generic_night_nominal,01T19:00,0.0
flexible_ev_charger_generic_night_nominal,01T20:00,0.0
flexible_ev_charger_generic_night_nominal,01T21:00,0.0
flexible_ev_charger_generic_night_nominal,01T22:00,0.0
flexible_ev_charger_generic_night_nominal,01T23:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T00:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T01:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T02:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T03:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T04:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T05:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T06:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T07:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T08:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T09:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T10:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T11:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T12:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T13:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T14:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T15:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T16:00,0.0
flexible_ev_charger_generic_night_maximum_charging,01T17:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T18:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T19:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T20:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T21:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T22:00,7000.0
flexible_ev_charger_generic_night_maximum_charging,01T23:00,7000.0
flexible_ev_charger_generic_night_maximum_discharging,01T00:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T01:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T02:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T03:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T04:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T05:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T06:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T07:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T08:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T09:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T10:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T11:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T12:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T13:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T14:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T15:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T16:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T17:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T18:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T19:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T20:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T21:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T22:00,0.0
flexible_ev_charger_generic_night_maximum_discharging,01T23:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T00:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T01:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T02:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T03:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T04:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T05:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T06:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T07:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T08:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T09:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T10:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T11:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T12:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T13:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T14:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T15:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T16:00,0.0
flexible_ev_charger_generic_night_maximum_energy,01T17:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T18:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T19:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T20:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T21:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T22:00,20000.0
flexible_ev_charger_generic_night_maximum_energy,01T23:00,20000.0
flexible_ev_charger_generic_night_departing_energy,01T00:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T01:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T02:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T03:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T04:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T05:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T06:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T07:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T08:00,20000.0
flexible_ev_charger_generic_night_departing_energy,01T09:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T10:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T11:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T12:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T13:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T14:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T15:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T16:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T17:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T18:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T19:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T20:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T21:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T22:00,0.0
flexible_ev_charger_generic_night_departing_energy,01T23:00,0.0
flexible_ev_charger_generic_day_nominal,01T00:00,0.0
flexible_ev_charger_generic_day_nominal,01T01:00,0.0
flexible_ev_charger_generic_day_nominal,01T02:00,0.0
flexible_ev_charger_generic_day_nominal,01T03:00,0.0
flexible_ev_charger_generic_day_nominal,01T04:00,0.0
flexible_ev_charger_generic_day_nominal,01T05:00,0.0
flexible_ev_charger_generic_day_nominal,01T06:00,0.0
flexible_ev_charger_generic_day_nominal,01T07:00,0.0
flexible_ev_charger_generic_day_nominal,01T08:00,0.0
flexible_ev_charger_generic_day_nominal,01T09:00,0.0
flexible_ev_charger_generic_day_nominal,01T10:00,0.0
flexible_ev_charger_generic_day_nominal,01T11:00,0.0
flexible_ev_charger_generic_day_nominal,01T12:00,0.0
flexible_ev_charger_generic_day_nominal,01T13:00,0.0
flexible_ev_charger_generic_day_nominal,01T14:00,0.0
flexible_ev_charger_generic_day_nominal,01T15:00,0.0
flexible_ev_charger_generic_day_nominal,01T16:00,0.0
flexible_ev_charger_generic_day_nominal,01T17:00,0.0
flexible_ev_charger_generic_day_nominal,01T18:00,0.0
flexible_ev_charger_generic_day_nominal,01T19:00,0.0
flexible_ev_charger_generic_day_nominal,01T20:00,0.0
flexible_ev_charger_generic_day_nominal,01T21:00,0.0
flexible_ev_charger_generic_day_nominal,01T22:00,0.0
flexible_ev_charger_generic_day_nominal,01T23:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T00:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T01:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T02:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T03:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T04:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T05:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T06:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T07:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T08:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T09:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T10:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T11:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T12:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T13:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T14:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T15:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T16:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T17:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T18:00,7000.0
flexible_ev_charger_generic_day_maximum_charging,01T19:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T20:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T21:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T22:00,0.0
flexible_ev_charger_generic_day_maximum_charging,01T23:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T00:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T01:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T02:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T03:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T04:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T05:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T06:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T07:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T08:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T09:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T10:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T11:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T12:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T13:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T14:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T15:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T16:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T17:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T18:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T19:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T20:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T21:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T22:00,0.0
flexible_ev_charger_generic_day_maximum_discharging,01T23:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T00:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T01:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T02:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T03:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T04:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T05:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T06:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T07:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T08:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T09:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T10:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T11:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T12:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T13:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T14:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T15:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T16:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T17:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T18:00,20000.0
flexible_ev_charger_generic_day_maximum_energy,01T19:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T20:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T21:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T22:00,0.0
flexible_ev_charger_generic_day_maximum_energy,01T23:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T00:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T01:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T02:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T03:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T04:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T05:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T06:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T07:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T08:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T09:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T10:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T11:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T12:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T13:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T14:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T15:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T16:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T17:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T18:00,20000.0
flexible_ev_charger_generic_day_departing_energy,01T19:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T20:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T21:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T22:00,0.0
flexible_ev_charger_generic_day_departing_energy,01T23:00,0.0
