"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESC","01 Jun 2021","3","0.25"
"MRP","PRIRESC","01 Jun 2021","4","0.11"
"MRP","PRIRESC","01 Jun 2021","5","0.25"
"MRP","PRIRESC","01 Jun 2021","6","0.25"
"MRP","PRIRESC","01 Jun 2021","7","0.11"
"MRP","PRIRESC","01 Jun 2021","8","0.11"
"MRP","PRIRESC","01 Jun 2021","9","0.11"
"MRP","PRIRESC","01 Jun 2021","10","0.38"
"MRP","PRIRESC","01 Jun 2021","11","0.75"
"MRP","PRIRESC","01 Jun 2021","12","0.75"
"MRP","PRIRESC","01 Jun 2021","13","0.66"
"MRP","PRIRESC","01 Jun 2021","14","0.11"
"MRP","PRIRESC","01 Jun 2021","15","0.72"
"MRP","PRIRESC","01 Jun 2021","16","0.72"
"MRP","PRIRESC","01 Jun 2021","17","0.66"
"MRP","PRIRESC","01 Jun 2021","18","0.05"
"MRP","PRIRESC","01 Jun 2021","19","0.05"
"MRP","PRIRESC","01 Jun 2021","20","0.04"
"MRP","PRIRESC","01 Jun 2021","21","0.04"
"MRP","PRIRESC","01 Jun 2021","22","0.04"
"MRP","PRIRESC","01 Jun 2021","23","0.04"
"MRP","PRIRESC","01 Jun 2021","24","0.04"
"MRP","PRIRESC","01 Jun 2021","25","0.04"
"MRP","PRIRESC","01 Jun 2021","26","0.11"
"MRP","PRIRESC","01 Jun 2021","27","0.04"
"MRP","PRIRESC","01 Jun 2021","28","0.04"
"MRP","PRIRESC","01 Jun 2021","29","0.04"
"MRP","PRIRESC","01 Jun 2021","30","0.04"
"MRP","PRIRESC","01 Jun 2021","31","0.04"
"MRP","PRIRESC","01 Jun 2021","32","0.04"
"MRP","PRIRESC","01 Jun 2021","33","0.04"
"MRP","PRIRESC","01 Jun 2021","34","0.04"
"MRP","PRIRESC","01 Jun 2021","35","0.11"
"MRP","PRIRESC","01 Jun 2021","36","0.04"
"MRP","PRIRESC","01 Jun 2021","37","0.11"
"MRP","PRIRESC","01 Jun 2021","38","0.04"
"MRP","PRIRESC","01 Jun 2021","39","0.04"
"MRP","PRIRESC","01 Jun 2021","40","0.04"
"MRP","PRIRESC","01 Jun 2021","41","0.04"
"MRP","PRIRESC","01 Jun 2021","42","0.04"
"MRP","PRIRESC","01 Jun 2021","43","0.04"
"MRP","PRIRESC","01 Jun 2021","44","0.04"
"MRP","PRIRESC","01 Jun 2021","45","0.04"
"MRP","PRIRESC","01 Jun 2021","46","0.66"
"MRP","PRIRESC","01 Jun 2021","47","0.74"
"MRP","PRIRESC","01 Jun 2021","48","0.38"
"MRP","PRIRESD","01 Jun 2021","1","0.30"
"MRP","PRIRESD","01 Jun 2021","2","0.20"
"MRP","PRIRESD","01 Jun 2021","3","0.20"
"MRP","PRIRESD","01 Jun 2021","4","0.08"
"MRP","PRIRESD","01 Jun 2021","5","0.20"
"MRP","PRIRESD","01 Jun 2021","6","0.20"
"MRP","PRIRESD","01 Jun 2021","7","0.08"
"MRP","PRIRESD","01 Jun 2021","8","0.08"
"MRP","PRIRESD","01 Jun 2021","9","0.08"
"MRP","PRIRESD","01 Jun 2021","10","0.30"
"MRP","PRIRESD","01 Jun 2021","11","0.60"
"MRP","PRIRESD","01 Jun 2021","12","0.60"
"MRP","PRIRESD","01 Jun 2021","13","0.53"
"MRP","PRIRESD","01 Jun 2021","14","0.08"
"MRP","PRIRESD","01 Jun 2021","15","0.58"
"MRP","PRIRESD","01 Jun 2021","16","0.58"
"MRP","PRIRESD","01 Jun 2021","17","0.53"
"MRP","PRIRESD","01 Jun 2021","18","0.04"
"MRP","PRIRESD","01 Jun 2021","19","0.04"
"MRP","PRIRESD","01 Jun 2021","20","0.03"
"MRP","PRIRESD","01 Jun 2021","21","0.03"
